Country,Role,StatsName,Value
Austria,defenders,Distance covered (Km),190.35
Austria,defenders,Fouls committed,18.0
Austria,defenders,Recovered balls,117.0
Austria,defenders,Tackles won,22.0
Austria,forwards,Distance covered (Km),49.6
Austria,forwards,Fouls committed,7.0
Austria,forwards,Recovered balls,6.0
Austria,forwards,Tackles won,0.0
Austria,midfielders,Distance covered (Km),210.65
Austria,midfielders,Fouls committed,30.0
Austria,midfielders,Recovered balls,83.0
Austria,midfielders,Tackles won,13.0
Belgium,defenders,Distance covered (Km),187.87
Belgium,defenders,Fouls committed,13.0
Belgium,defenders,Recovered balls,113.0
Belgium,defenders,Tackles won,8.0
Belgium,forwards,Distance covered (Km),92.28999999999999
Belgium,forwards,Fouls committed,17.0
Belgium,forwards,Recovered balls,16.0
Belgium,forwards,Tackles won,4.0
Belgium,midfielders,Distance covered (Km),237.45
Belgium,midfielders,Fouls committed,33.0
Belgium,midfielders,Recovered balls,68.0
Belgium,midfielders,Tackles won,10.0
Croatia,defenders,Distance covered (Km),149.22
Croatia,defenders,Fouls committed,20.0
Croatia,defenders,Recovered balls,91.0
Croatia,defenders,Tackles won,8.0
Croatia,forwards,Distance covered (Km),86.63
Croatia,forwards,Fouls committed,15.0
Croatia,forwards,Recovered balls,11.0
Croatia,forwards,Tackles won,1.0
Croatia,midfielders,Distance covered (Km),181.78
Croatia,midfielders,Fouls committed,18.0
Croatia,midfielders,Recovered balls,51.0
Croatia,midfielders,Tackles won,10.0
Czech Republic,defenders,Distance covered (Km),232.98
Czech Republic,defenders,Fouls committed,24.0
Czech Republic,defenders,Recovered balls,136.0
Czech Republic,defenders,Tackles won,12.0
Czech Republic,forwards,Distance covered (Km),71.24
Czech Republic,forwards,Fouls committed,7.0
Czech Republic,forwards,Recovered balls,11.0
Czech Republic,forwards,Tackles won,0.0
Czech Republic,midfielders,Distance covered (Km),242.91
Czech Republic,midfielders,Fouls committed,20.0
Czech Republic,midfielders,Recovered balls,74.0
Czech Republic,midfielders,Tackles won,6.0
Denmark,defenders,Distance covered (Km),257.62
Denmark,defenders,Fouls committed,24.0
Denmark,defenders,Recovered balls,153.0
Denmark,defenders,Tackles won,16.0
Denmark,forwards,Distance covered (Km),183.25
Denmark,forwards,Fouls committed,25.0
Denmark,forwards,Recovered balls,27.0
Denmark,forwards,Tackles won,4.0
