FullName,Assists,Goals,Role,Total Contributions
Aaron Ramsey,0,0,midfielders,0
Adam Hložek,0,0,forwards,0
Adama Traoré,0,0,midfielders,0
Admir Mehmedi,0,0,forwards,0
Adrien Rabiot,0,0,midfielders,0
Albin Ekdal,0,0,midfielders,0
Aleksandar Dragovic,0,0,defenders,0
Aleksandar Trajkovski,0,0,forwards,0
Aleksandr Golovin,0,0,midfielders,0
Aleksandr Sobolev,0,0,forwards,0
Aleksei Miranchuk,0,1,midfielders,1
Alessandro Bastoni,0,0,defenders,0
Alessandro Florenzi,0,0,defenders,0
Alessandro Schöpf,0,0,midfielders,0
Alex Král,0,0,midfielders,0
Alexander Isak,1,0,forwards,1
Andrea Belotti,0,0,forwards,0
Andreas Christensen,0,1,defenders,1
Andreas Cornelius,1,0,forwards,1
Andreas Olsen,0,0,forwards,0
Andreas Ulmer,0,0,defenders,0
Andrei Semenov,0,0,defenders,0
Andrej Kramaric,1,0,forwards,1
Andriy Yarmolenko,2,2,forwards,4
András Schäfer,0,1,midfielders,1
Andy Robertson,0,0,defenders,0
Ante Budimir,0,0,forwards,0
Ante Rebic,0,0,forwards,0
Antoine Griezmann,1,1,forwards,2
Anton Shunin,0,0,goalkeepers,0
Antonio Rüdiger,0,0,defenders,0
Antonín Barák,0,0,midfielders,0
Arijan Ademi,0,0,midfielders,0
Artem Besedin,0,0,forwards,0
Artem Dovbyk,0,1,forwards,1
Artem Dzyuba,0,1,forwards,1
Attila Fiola,0,1,defenders,1
Attila Szalai,0,0,defenders,0
Axel Witsel,0,0,midfielders,0
Aymeric Laporte,0,1,defenders,1
Bartosz Bereszynski,0,0,defenders,0
Ben Davies,0,0,defenders,0
Benjamin Pavard,0,0,defenders,0
Billy Gilmour,0,0,midfielders,0
Boban Nikolov,0,0,midfielders,0
Borna Barišic,0,0,defenders,0
Breel Embolo,0,1,forwards,1
Bruno Petkovic,0,0,forwards,0
Bryan Cristante,0,0,midfielders,0
Bukayo Saka,1,0,midfielders,1
Callum McGregor,0,1,midfielders,1
Chris Gunter,0,0,defenders,0
Chris Mepham,0,0,defenders,0
Christian Benteke,0,0,forwards,0
Christian Eriksen,0,0,midfielders,0
Christian Fassnacht,0,0,midfielders,0
Christian Nørgaard,0,0,midfielders,0
Christoph Baumgartner,0,1,midfielders,1
Christopher Trimmel,0,0,midfielders,0
Ché Adams,0,0,forwards,0
Ciro Immobile,1,2,forwards,3
Clément Lenglet,0,0,defenders,0
Cody Gakpo,0,0,forwards,0
Connor Roberts,0,0,defenders,0
Corentin Tolisso,0,0,midfielders,0
Cristiano Ronaldo,1,5,forwards,6
César Azpilicueta,0,1,defenders,1
Daler Kuzyaev,0,0,midfielders,0
Daley Blind,0,0,defenders,0
Dani Olmo,3,0,midfielders,3
Daniel Avramovski,0,0,forwards,0
Daniel Bachmann,0,0,goalkeepers,0
Daniel James,0,0,midfielders,0
Daniel O'Shaughnessy,0,0,defenders,0
Daniel Wass,0,0,midfielders,0
Danny Ward,0,0,goalkeepers,0
Darko Churlinov,0,0,midfielders,0
Darko Velkoski,0,0,defenders,0
David Alaba,2,0,defenders,2
David Brooks,0,0,midfielders,0
David Marshall,0,0,goalkeepers,0
Declan Rice,0,0,midfielders,0
Dedryck Boyata,0,0,defenders,0
Dejan Kulusevski,2,0,midfielders,2
Dejan Lovren,0,0,defenders,0
Denis Cheryshev,0,0,midfielders,0
Denis Zakaria,0,0,midfielders,0
Dennis Praet,0,0,midfielders,0
Denzel Dumfries,0,2,defenders,2
Diogo Dalot,0,0,defenders,0
Djibril Sow,0,0,midfielders,0
Dmitri Barinov,0,0,midfielders,0
Domagoj Vida,0,0,defenders,0
Domenico Berardi,2,0,forwards,2
Dominic Calvert-Lewin,0,0,forwards,0
Dominik Livakovic,0,0,goalkeepers,0
Donyell Malen,2,0,forwards,2
Dries Mertens,1,0,forwards,1
Duje Caleta-Car,0,0,defenders,0
Dylan Levitt,0,0,midfielders,0
Dávid Hancko,0,0,defenders,0
Dávid Sigér,0,0,midfielders,0
Eden Hazard,1,0,midfielders,1
Eduard Sobol,0,0,defenders,0
Egzon Bejtulai,0,0,defenders,0
Eljif Elmas,0,0,midfielders,0
Emil Forsberg,0,4,midfielders,4
Emil Krafth,0,0,defenders,0
Emre Can,0,0,midfielders,0
Endre Botka,0,0,defenders,0
Enis Bardi,0,0,midfielders,0
Ethan Ampadu,0,0,defenders,0
Ezgjan Alioski,0,1,midfielders,1
Fabian Schär,0,0,defenders,0
Federico Bernardeschi,0,0,midfielders,0
Federico Chiesa,0,2,midfielders,2
Fedor Kudryashov,0,0,defenders,0
Ferhan Hasani,0,0,midfielders,0
Filip Helander,0,0,defenders,0
Florian Grillitsch,0,0,midfielders,0
Francesco Acerbi,1,0,defenders,1
Fredrik Jensen,0,0,midfielders,0
