TeamName,Average Goals Scored per Game,Scaled Value Goals,Average Attempts % Accuracy,Average Passes Accuracy,Average Fouls Committed per Game,Scaled Value Fouls,Average Ball Possession % per Game
Austria,1.25,0.55,0.2925,0.815,13.75,0.6875,0.525
Belgium,1.6,0.76,0.398,0.8699999999999999,12.6,0.5277777777777777,0.526
Croatia,1.5,0.7000000000000001,0.36,0.8525,13.25,0.6180555555555555,0.495
Czech Republic,1.2,0.52,0.32399999999999995,0.774,10.2,0.19444444444444425,0.476
Denmark,1.6,0.76,0.41400000000000003,0.8240000000000001,11.8,0.4166666666666667,0.502
England,1.4285714285714286,0.6571428571428571,0.4014285714285714,0.8628571428571429,10.142857142857142,0.18650793650793634,0.5199999999999999
Finland,0.3333333333333333,0.0,0.38000000000000006,0.7333333333333334,10.0,0.16666666666666657,0.3466666666666667
France,1.5,0.7000000000000001,0.315,0.8875,12.75,0.548611111111111,0.5175
Germany,1.0,0.4,0.3375,0.8925000000000001,10.5,0.23611111111111105,0.5925
Hungary,1.0,0.4,0.5666666666666667,0.7733333333333334,12.333333333333334,0.49074074074074076,0.3466666666666667
Italy,1.7142857142857142,0.8285714285714285,0.3028571428571429,0.8685714285714285,13.285714285714286,0.6230158730158731,0.5357142857142857
Netherlands,2.0,1.0,0.25749999999999995,0.825,10.0,0.16666666666666657,0.5475
North Macedonia,0.6666666666666666,0.19999999999999998,0.25,0.7966666666666665,11.0,0.30555555555555547,0.4366666666666667
Poland,1.3333333333333333,0.6,0.30333333333333334,0.7566666666666667,15.333333333333334,0.9074074074074074,0.49333333333333335
Portugal,1.75,0.85,0.4,0.885,9.5,0.09722222222222213,0.535
Russia,0.5,0.1,0.1,0.8049999999999999,11.5,0.37499999999999994,0.565
Scotland,0.3333333333333333,0.0,0.22666666666666668,0.7966666666666667,9.333333333333334,0.07407407407407407,0.44
Slovakia,0.3333333333333333,0.0,0.06,0.8433333333333333,11.333333333333334,0.35185185185185186,0.4633333333333333
Spain,1.6666666666666667,0.8,0.38666666666666666,0.8933333333333334,12.0,0.44444444444444436,0.6683333333333333
Sweden,1.25,0.55,0.2175,0.71,12.75,0.548611111111111,0.3825
Switzerland,1.6,0.76,0.284,0.8460000000000001,12.6,0.5277777777777777,0.48599999999999993
Turkey,0.3333333333333333,0.0,0.20333333333333334,0.8366666666666666,16.0,1.0,0.48666666666666664
Ukraine,1.2,0.52,0.37,0.866,8.8,0.0,0.48600000000000004
Wales,0.75,0.25,0.27,0.7925,9.25,0.06249999999999991,0.4175
