Temperature,Humidity,Value,Opponent,Country,StatsName,FullName,Temperature_zscore,Humidity_zscore,Average_zscore
19,76,0.0,North Macedonia,Austria,Goals,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Total Attempts,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts on target,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts off target,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Corners,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Offsides,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Saves,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Tackles won,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Clearances,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Recovered balls,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Fouls committed,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Yellow cards,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Red cards,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,2.0,North Macedonia,Austria,Passes completed,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,100.0,North Macedonia,Austria,Passes accuracy,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,272.0,North Macedonia,Austria,Distance covered (m),Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,128.0,North Macedonia,Austria,Distance covered in possession (m),Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,15.7,North Macedonia,Austria,Top Speed (Km/h),Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Own-goals,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals conceded,Julian Baumgartlinger,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Total Attempts,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts on target,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts off target,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Corners,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Offsides,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Saves,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Tackles won,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,2.0,North Macedonia,Austria,Clearances,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Recovered balls,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Fouls committed,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Yellow cards,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Red cards,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,28.0,North Macedonia,Austria,Passes completed,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,78.0,North Macedonia,Austria,Passes accuracy,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,10525.0,North Macedonia,Austria,Distance covered (m),Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,4490.0,North Macedonia,Austria,Distance covered in possession (m),Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,29.0,North Macedonia,Austria,Top Speed (Km/h),Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Own-goals,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals conceded,Andreas Ulmer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Total Attempts,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts on target,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts off target,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Corners,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Offsides,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Saves,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Tackles won,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Clearances,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Recovered balls,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Fouls committed,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Yellow cards,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Red cards,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Passes completed,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,100.0,North Macedonia,Austria,Passes accuracy,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,55.0,North Macedonia,Austria,Distance covered (m),Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,39.0,North Macedonia,Austria,Distance covered in possession (m),Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,12.3,North Macedonia,Austria,Top Speed (Km/h),Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Own-goals,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals conceded,Stefan Ilsanker,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Goals,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Total Attempts,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Attempts on target,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts off target,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Corners,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Offsides,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Saves,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Tackles won,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Clearances,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Recovered balls,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Fouls committed,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Yellow cards,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Red cards,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,14.0,North Macedonia,Austria,Passes completed,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,88.0,North Macedonia,Austria,Passes accuracy,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,3708.0,North Macedonia,Austria,Distance covered (m),Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1683.0,North Macedonia,Austria,Distance covered in possession (m),Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,26.1,North Macedonia,Austria,Top Speed (Km/h),Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Own-goals,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals conceded,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Total Attempts,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts on target,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts off target,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,4.0,North Macedonia,Austria,Corners,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Offsides,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Saves,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Tackles won,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Clearances,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
