HomeTeamName,RoundName,FoulsCommitted,TotalFouls,GoalsOpenPlay,GoalsSetPieces,MatchName,TotalScore,TeamScore
Netherlands,Final Tournament,"[8, 8]",16,5,0,Netherlands vs Ukraine,5,"[3, 2]"
Austria,Final Tournament,"[13, 16]",29,4,0,Austria vs North Macedonia,4,"[3, 1]"
Netherlands,Final Tournament,"[9, 13]",22,1,1,Netherlands vs Austria,2,"[2, 0]"
Ukraine,Final Tournament,"[9, 9]",18,3,0,Ukraine vs North Macedonia,3,"[2, 1]"
North Macedonia,Final Tournament,"[8, 13]",21,3,0,North Macedonia vs Netherlands,3,"[0, 3]"
Ukraine,Final Tournament,"[11, 10]",21,1,0,Ukraine vs Austria,1,"[0, 1]"
Turkey,Final Tournament,"[10, 8]",18,2,0,Turkey vs Italy,3,"[0, 3]"
Wales,Final Tournament,"[6, 9]",15,2,0,Wales vs Switzerland,2,"[1, 1]"
Denmark,Final Tournament,"[11, 12]",23,1,0,Denmark vs Finland,1,"[0, 1]"
Belgium,Final Tournament,"[9, 11]",20,3,0,Belgium vs Russia,3,"[3, 0]"
England,Final Tournament,"[10, 9]",19,1,0,England vs Croatia,1,"[1, 0]"
Scotland,Final Tournament,"[6, 6]",12,2,0,Scotland vs Czech Republic,2,"[0, 2]"
Spain,Final Tournament,"[7, 11]",18,0,0,Spain vs Sweden,0,"[0, 0]"
Poland,Final Tournament,"[13, 15]",28,2,0,Poland vs Slovakia,3,"[1, 2]"
Hungary,Final Tournament,"[10, 15]",25,2,1,Hungary vs Portugal,3,"[0, 3]"
France,Final Tournament,"[7, 10]",17,0,0,France vs Germany,1,"[1, 0]"
Turkey,Final Tournament,"[8, 18]",26,2,0,Turkey vs Wales,2,"[0, 2]"
Italy,Final Tournament,"[12, 10]",22,3,0,Italy vs Switzerland,3,"[3, 0]"
Denmark,Final Tournament,"[14, 8]",22,3,0,Denmark vs Belgium,3,"[1, 2]"
Finland,Final Tournament,"[12, 12]",24,0,1,Finland vs Russia,1,"[0, 1]"
England,Final Tournament,"[14, 13]",27,0,0,England vs Scotland,0,"[0, 0]"
Croatia,Final Tournament,"[7, 12]",19,1,1,Croatia vs Czech Republic,2,"[1, 1]"
Spain,Final Tournament,"[18, 16]",34,2,0,Spain vs Poland,2,"[1, 1]"
Sweden,Final Tournament,"[7, 16]",23,0,1,Sweden vs Slovakia,1,"[1, 0]"
Hungary,Final Tournament,"[15, 17]",32,2,0,Hungary vs France,2,"[1, 1]"
Portugal,Final Tournament,"[15, 5]",20,4,0,Portugal vs Germany,6,"[2, 4]"
Switzerland,Final Tournament,"[14, 20]",34,4,0,Switzerland vs Turkey,4,"[3, 1]"
Italy,Final Tournament,"[12, 14]",26,1,0,Italy vs Wales,1,"[1, 0]"
Russia,Final Tournament,[0],0,0,0,Russia vs Denmark,5,"[1, 4]"
Finland,Final Tournament,"[10, 6]",16,1,0,Finland vs Belgium,2,"[0, 2]"
Czech Republic,Final Tournament,"[11, 10]",21,1,0,Czech Republic vs England,1,"[0, 1]"
Croatia,Final Tournament,"[8, 10]",18,4,0,Croatia vs Scotland,4,"[3, 1]"
Slovakia,Final Tournament,"[14, 7]",21,3,0,Slovakia vs Spain,5,"[0, 5]"
Sweden,Final Tournament,"[13, 13]",26,5,0,Sweden vs Poland,5,"[3, 2]"
Germany,Final Tournament,"[8, 10]",18,4,0,Germany vs Hungary,4,"[2, 2]"
Portugal,Final Tournament,"[9, 15]",24,1,3,Portugal vs France,4,"[2, 2]"
Italy,Eighth Finals,"[22, 10]",32,3,0,Italy vs Austria,3,"[2, 1]"
Wales,Eighth Finals,"[11, 9]",20,4,0,Wales vs Denmark,4,"[0, 4]"
Belgium,Eighth Finals,"[9, 14]",23,1,0,Belgium vs Portugal,1,"[1, 0]"
Netherlands,Eighth Finals,"[14, 6]",20,2,0,Netherlands vs Czech Republic,2,"[0, 2]"
France,Eighth Finals,"[13, 14]",27,6,0,France vs Switzerland,6,"[3, 3]"
Croatia,Eighth Finals,"[26, 10]",36,7,0,Croatia vs Spain,8,"[3, 5]"
Sweden,Eighth Finals,"[11, 7]",18,3,0,Sweden vs Ukraine,3,"[1, 2]"
England,Eighth Finals,"[11, 9]",20,2,0,England vs Germany,2,"[2, 0]"
Switzerland,Quarter Finals,"[14, 15]",29,1,0,Switzerland vs Spain,2,"[1, 1]"
Belgium,Quarter Finals,"[13, 16]",29,2,1,Belgium vs Italy,3,"[1, 2]"
Ukraine,Quarter Finals,"[4, 10]",14,4,0,Ukraine vs England,4,"[0, 4]"
Czech Republic,Quarter Finals,"[10, 9]",19,3,0,Czech Republic vs Denmark,3,"[1, 2]"
Italy,Semi Finals,"[18, 17]",35,2,0,Italy vs Spain,2,"[1, 1]"
England,Semi Finals,"[21, 10]",31,1,1,England vs Denmark,3,"[2, 1]"
Italy,Final,"[13, 21]",34,2,0,Italy vs England,2,"[1, 1]"
